m_bError = False | m_ID = 1 | m_mName = Hero_mName_1 | m_SkinId = 1011 | m_PreLoadID = 1 | m_Prefabs = hero_gongjianshou | m_Size = 0.75 | m_GuideType = 1 | m_Head = Atlas_HeadIcon/HeroHead001 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero011 | m_LargeMap = Hero011 | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/gongshou | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 5 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 1 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 25 | m_BaseSpeed = 260 | m_MoveSpeed = 240 | m_BasePhyAtt = 117 | m_BaseMagAtt = 0 | m_AttSpeed = 10625 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 17 | m_MagBaseShield = 10 | m_BaseHp = 2524 | m_FightHpRec = 30 | m_BaseMp = 445 | m_FightMpRec = 15 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 1550 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 26500 | m_PhyLevelShield = 324 | m_MagLevelShield = 170 | m_LevelHp = 13850 | m_HPLevelRec = 112 | m_LevelMp = 10000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_1 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 33 | m_mName = Hero_mName_33 | m_SkinId = 1331 | m_PreLoadID = 33 | m_Prefabs = hero_xinghunfashi | m_Size = 0.55 | m_GuideType = 1 | m_Head = Atlas_OneHeroIcon02/HeroHead033 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero331 | m_LargeMap = Hero331 | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/fashi | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 4 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 2 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20002 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 25 | m_BaseSpeed = 280 | m_MoveSpeed = 240 | m_BasePhyAtt = 112 | m_BaseMagAtt = 0 | m_AttSpeed = 10000 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 18 | m_MagBaseShield = 10 | m_BaseHp = 2521 | m_FightHpRec = 38 | m_BaseMp = 500 | m_FightMpRec = 20 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 585 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 10000 | m_PhyLevelShield = 330 | m_MagLevelShield = 170 | m_LevelHp = 16260 | m_HPLevelRec = 161 | m_LevelMp = 10700 | m_MPLevelRec = 105 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_33 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 34 | m_mName = Hero_mName_34 | m_SkinId = 1341 | m_PreLoadID = 34 | m_Prefabs = hero_gregory | m_Size = 0.81 | m_GuideType = 1 | m_Head = Atlas_OneHeroIcon02/HeroHead034 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero341_add | m_LargeMap = Hero341_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/fuzhu | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 6 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 2 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20002 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 25 | m_BaseSpeed = 280 | m_MoveSpeed = 240 | m_BasePhyAtt = 120 | m_BaseMagAtt = 0 | m_AttSpeed = 10000 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 13 | m_MagBaseShield = 10 | m_BaseHp = 2221 | m_FightHpRec = 36 | m_BaseMp = 545 | m_FightMpRec = 18 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 725 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 10000 | m_PhyLevelShield = 290 | m_MagLevelShield = 170 | m_LevelHp = 12350 | m_HPLevelRec = 150 | m_LevelMp = 12500 | m_MPLevelRec = 105 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_34 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 35 | m_mName = Hero_mName_35 | m_SkinId = 1351 | m_PreLoadID = 35 | m_Prefabs = hero_Hilda | m_Size = 0.85 | m_GuideType = 1 | m_Head = Atlas_OneHeroIcon03/HeroHead035 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero351 | m_LargeMap = Hero351 | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/zhanshi | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 2 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 3 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 31 | m_BaseSpeed = 270 | m_MoveSpeed = 260 | m_BasePhyAtt = 123 | m_BaseMagAtt = 0 | m_AttSpeed = 10525 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 24 | m_MagBaseShield = 10 | m_BaseHp = 2789 | m_FightHpRec = 42 | m_BaseMp = 0 | m_FightMpRec = 0 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 685 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 20000 | m_PhyLevelShield = 350 | m_MagLevelShield = 170 | m_LevelHp = 24000 | m_HPLevelRec = 320 | m_LevelMp = 0 | m_MPLevelRec = 0 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_35 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 36 | m_mName = Hero_mName_36 | m_SkinId = 1361 | m_PreLoadID = 36 | m_Prefabs = hero_frozen | m_Size = 0.88 | m_GuideType = 1 | m_Head = Atlas_OneHeroIcon02/HeroHead036 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero361_add | m_LargeMap = Hero361_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/fashi | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 4 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 2 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20002 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 25 | m_BaseSpeed = 280 | m_MoveSpeed = 245 | m_BasePhyAtt = 110 | m_BaseMagAtt = 0 | m_AttSpeed = 10000 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 17 | m_MagBaseShield = 10 | m_BaseHp = 2501 | m_FightHpRec = 34 | m_BaseMp = 500 | m_FightMpRec = 23 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 525 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 15000 | m_PhyLevelShield = 320 | m_MagLevelShield = 170 | m_LevelHp = 14250 | m_HPLevelRec = 150 | m_LevelMp = 13800 | m_MPLevelRec = 105 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_36 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 37 | m_mName = Hero_mName_37 | m_SkinId = 1371 | m_PreLoadID = 37 | m_Prefabs = hero_lapulapu | m_Size = 0.85 | m_GuideType = 1 | m_Head = Atlas_OneHeroIcon03/HeroHead037 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero371_add | m_LargeMap = Hero371_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/zhanshi | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 2 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 3 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 28 | m_BaseSpeed = 270 | m_MoveSpeed = 260 | m_BasePhyAtt = 119 | m_BaseMagAtt = 0 | m_AttSpeed = 11250 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 21 | m_MagBaseShield = 10 | m_BaseHp = 2628 | m_FightHpRec = 35 | m_BaseMp = 0 | m_FightMpRec = 16 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 825 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 20000 | m_PhyLevelShield = 360 | m_MagLevelShield = 170 | m_LevelHp = 21330 | m_HPLevelRec = 203 | m_LevelMp = 0 | m_MPLevelRec = 0 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_37 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 38 | m_mName = Hero_mName_38 | m_SkinId = 1381 | m_PreLoadID = 38 | m_Prefabs = hero_wizard | m_Size = 0.85 | m_GuideType = 1 | m_Head = Atlas_OneHeroIcon03/HeroHead038 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero381_add | m_LargeMap = Hero381_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/fashi | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 4 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 2 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20002 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 25 | m_BaseSpeed = 280 | m_MoveSpeed = 245 | m_BasePhyAtt = 112 | m_BaseMagAtt = 0 | m_AttSpeed = 10000 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 17 | m_MagBaseShield = 10 | m_BaseHp = 2481 | m_FightHpRec = 38 | m_BaseMp = 490 | m_FightMpRec = 20 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 585 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 10000 | m_PhyLevelShield = 330 | m_MagLevelShield = 170 | m_LevelHp = 13750 | m_HPLevelRec = 150 | m_LevelMp = 10800 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_38 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 39 | m_mName = Hero_mName_39 | m_SkinId = 1391 | m_PreLoadID = 39 | m_Prefabs = hero_werewolf | m_Size = 0.85 | m_GuideType = 1 | m_Head = Atlas_OneHeroIcon03/HeroHead039 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero391_add | m_LargeMap = Hero391_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/zhanshi | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 2 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 1 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 28 | m_BaseSpeed = 270 | m_MoveSpeed = 240 | m_BasePhyAtt = 120 | m_BaseMagAtt = 0 | m_AttSpeed = 10525 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 22 | m_MagBaseShield = 10 | m_BaseHp = 2730 | m_FightHpRec = 36 | m_BaseMp = 450 | m_FightMpRec = 15 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 1350 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 14000 | m_PhyLevelShield = 341 | m_MagLevelShield = 170 | m_LevelHp = 15850 | m_HPLevelRec = 114 | m_LevelMp = 10000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_39 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 40 | m_mName = Hero_mName_40 | m_SkinId = 1401 | m_PreLoadID = 40 | m_Prefabs = hero_feilun | m_Size = 0.85 | m_GuideType = 1 | m_Head = Atlas_OneHeroIcon03/HeroHead040 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero401_add | m_LargeMap = Hero401_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/gongshou | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 5 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 1 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 25 | m_BaseSpeed = 250 | m_MoveSpeed = 240 | m_BasePhyAtt = 112 | m_BaseMagAtt = 0 | m_AttSpeed = 10495 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 17 | m_MagBaseShield = 10 | m_BaseHp = 2578 | m_FightHpRec = 40 | m_BaseMp = 440 | m_FightMpRec = 15 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 1400 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 21800 | m_PhyLevelShield = 338 | m_MagLevelShield = 170 | m_LevelHp = 15550 | m_HPLevelRec = 114 | m_LevelMp = 10000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_40 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 41 | m_mName = Hero_mName_41 | m_SkinId = 1411 | m_PreLoadID = 41 | m_Prefabs = hero_gatot | m_Size = 0.85 | m_GuideType = 1 | m_Head = Atlas_OneHeroIcon04/HeroHead041 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero411_add | m_LargeMap = Hero411_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/tanke | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 1 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 3 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20002 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 25 | m_BaseSpeed = 280 | m_MoveSpeed = 260 | m_BasePhyAtt = 120 | m_BaseMagAtt = 0 | m_AttSpeed = 10225 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 20 | m_MagBaseShield = 10 | m_BaseHp = 2709 | m_FightHpRec = 42 | m_BaseMp = 420 | m_FightMpRec = 12 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 765 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 16000 | m_PhyLevelShield = 260 | m_MagLevelShield = 170 | m_LevelHp = 22500 | m_HPLevelRec = 300 | m_LevelMp = 10000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_41 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 42 | m_mName = Hero_mName_42 | m_SkinId = 1421 | m_PreLoadID = 42 | m_Prefabs = hero_moshushi | m_Size = 0.68 | m_GuideType = 1 | m_Head = Atlas_OneHeroIcon04/HeroHead042 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero421_add | m_LargeMap = Hero421_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/fashi | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 4 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 2 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20002 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 25 | m_BaseSpeed = 280 | m_MoveSpeed = 240 | m_BasePhyAtt = 114 | m_BaseMagAtt = 0 | m_AttSpeed = 10600 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 19 | m_MagBaseShield = 10 | m_BaseHp = 2501 | m_FightHpRec = 36 | m_BaseMp = 490 | m_FightMpRec = 18 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 625 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 18000 | m_PhyLevelShield = 290 | m_MagLevelShield = 170 | m_LevelHp = 13250 | m_HPLevelRec = 150 | m_LevelMp = 11500 | m_MPLevelRec = 120 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_42 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 43 | m_mName = Hero_mName_43 | m_SkinId = 1431 | m_PreLoadID = 43 | m_Prefabs = hero_rider | m_Size = 0.8 | m_GuideType = 1 | m_Head = Atlas_OneHeroIcon04/HeroHead043 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero431_add | m_LargeMap = Hero431_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/gongshou | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 5 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 1 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 25 | m_BaseSpeed = 250 | m_MoveSpeed = 250 | m_BasePhyAtt = 110 | m_BaseMagAtt = 0 | m_AttSpeed = 10325 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 17 | m_MagBaseShield = 10 | m_BaseHp = 2540 | m_FightHpRec = 35 | m_BaseMp = 438 | m_FightMpRec = 15 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 1400 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 20000 | m_PhyLevelShield = 335 | m_MagLevelShield = 170 | m_LevelHp = 14270 | m_HPLevelRec = 116 | m_LevelMp = 10000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_43 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 44 | m_mName = Hero_mName_44 | m_SkinId = 1441 | m_PreLoadID = 44 | m_Prefabs = hero_stoneman | m_Size = 0.65 | m_GuideType = 1 | m_Head = Atlas_OneHeroIcon04/HeroHead044 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero441_add | m_LargeMap = Hero441_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/tanke | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 1 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 3 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 34 | m_BaseSpeed = 280 | m_MoveSpeed = 260 | m_BasePhyAtt = 135 | m_BaseMagAtt = 0 | m_AttSpeed = 10125 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 21 | m_MagBaseShield = 10 | m_BaseHp = 2819 | m_FightHpRec = 42 | m_BaseMp = 430 | m_FightMpRec = 12 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 825 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 12000 | m_PhyLevelShield = 340 | m_MagLevelShield = 170 | m_LevelHp = 24000 | m_HPLevelRec = 300 | m_LevelMp = 10000 | m_MPLevelRec = 100 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_44 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 45 | m_mName = Hero_mName_45 | m_SkinId = 1451 | m_PreLoadID = 45 | m_Prefabs = hero_argus | m_Size = 0.8 | m_GuideType = 1 | m_Head = Atlas_OneHeroIcon04/HeroHead045 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero451_add | m_LargeMap = Hero451_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/zhanshi | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 2 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 1 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20001 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 28 | m_BaseSpeed = 270 | m_MoveSpeed = 260 | m_BasePhyAtt = 124 | m_BaseMagAtt = 0 | m_AttSpeed = 11450 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 21 | m_MagBaseShield = 10 | m_BaseHp = 2628 | m_FightHpRec = 40 | m_BaseMp = 0 | m_FightMpRec = 0 | m_XpMax = 100 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 1025 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 31000 | m_PhyLevelShield = 320 | m_MagLevelShield = 170 | m_LevelHp = 18300 | m_HPLevelRec = 203 | m_LevelMp = 0 | m_MPLevelRec = 0 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_45 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
m_bError = False | m_ID = 46 | m_mName = Hero_mName_46 | m_SkinId = 1461 | m_PreLoadID = 46 | m_Prefabs = hero_odette | m_Size = 0.88 | m_GuideType = 1 | m_Head = Atlas_OneHeroIcon05/HeroHead046 | m_HeadExt = Atlas_HeadIcon/HeroHead0481 | m_SmallMap = Hero461_add | m_LargeMap = Hero461_add | m_SkillList = [System.Int32[][]] | m_Sort = [System.Int32[]] | m_SortIcon = Atlas_BattleSelMode/fashi | m_Specialty = [System.Int32[]] | m_AbilityShow = [System.Int32[]] | m_occupation = 4 | m_RecommendEquip = [System.Int32[]] | m_SurvivalHeroSort = 2 | m_SurvivalRecommendEquipType = [System.Int32[][]] | m_RecommendRune = 20002 | m_RecommendSkill = [System.Int32[]] | m_RecommendLevel = [System.Int32[]] | m_HeroVoice = [System.String[]] | m_DeathVoice = [System.String[]] | m_TypeRadius = 25 | m_BaseSpeed = 280 | m_MoveSpeed = 240 | m_BasePhyAtt = 105 | m_BaseMagAtt = 0 | m_AttSpeed = 10000 | m_AttSpeed_show = 0.8 | m_PhyBaseShield = 18 | m_MagBaseShield = 10 | m_BaseHp = 2491 | m_FightHpRec = 34 | m_BaseMp = 495 | m_FightMpRec = 23 | m_XpMax = 0 | m_CostType = [System.Int32[]] | m_Crit = 0 | m_HeivySpellAtt = 0 | m_LevelPhyAtt = 525 | m_LevelMagAtt = 0 | m_LevelAttSpeed = 17000 | m_PhyLevelShield = 320 | m_MagLevelShield = 170 | m_LevelHp = 14220 | m_HPLevelRec = 150 | m_LevelMp = 10900 | m_MPLevelRec = 102 | m_HeroGroup = [System.Int32[]] | m_HeroTask = [System.Int32[]] | m_mTale = Hero_mTale_46 | nullObj = MobileLegendsTool.TableReader.TableName.Hero_Element | 
